1;133MJY0001;23;2022-01-01;5000;PT Maju Jaya;MJ001
2;133SAB0001;23;2022-01-01;5100;PT Sentosa Abadi;SA001
3;133BRM0001;23;2022-01-01;5150;PT Berkah Makmur;BM001
4;133SJB0001;23;2022-01-01;5200;PT Sejahtera Bersama;SB001
5;133CHI0001;23;2022-01-01;5100;PT Cahaya Indah;CI001
6;133MJY0002;23;2022-01-02;5100;PT Maju Jaya;MJ001
7;133SAB0002;23;2022-01-02;5150;PT Sentosa Abadi;SA001
8;133BRM0002;23;2022-01-02;5200;PT Berkah Makmur;BM001
9;133SJB0002;23;2022-01-02;5250;PT Sejahtera Bersama;SB001
10;133CHI0002;23;2022-01-02;5150;PT Cahaya Indah;CI001
11;133MJY0003;23;2022-01-03;5150;PT Maju Jaya;MJ001
12;133SAB0003;23;2022-01-03;5200;PT Sentosa Abadi;SA001
13;133BRM0003;23;2022-01-03;5250;PT Berkah Makmur;BM001
14;133SJB0003;23;2022-01-03;5300;PT Sejahtera Bersama;SB001
15;133CHI0003;23;2022-01-03;5200;PT Cahaya Indah;CI001
16;133MJY0004;23;2022-01-04;5200;PT Maju Jaya;MJ001
17;133SAB0004;23;2022-01-04;5250;PT Sentosa Abadi;SA001
18;133BRM0004;23;2022-01-04;5300;PT Berkah Makmur;BM001
19;133SJB0004;23;2022-01-04;5350;PT Sejahtera Bersama;SB001
20;133CHI0004;23;2022-01-04;5250;PT Cahaya Indah;CI001
21;133MJY0005;23;2022-01-05;5250;PT Maju Jaya;MJ001
22;133SAB0005;23;2022-01-05;5300;PT Sentosa Abadi;SA001
23;133BRM0005;23;2022-01-05;5350;PT Berkah Makmur;BM001
24;133SJB0005;23;2022-01-05;5400;PT Sejahtera Bersama;SB001
25;133CHI0005;23;2022-01-05;5300;PT Cahaya Indah;CI001
26;133MJY0006;23;2022-01-06;5300;PT Maju Jaya;MJ001
27;133SAB0006;23;2022-01-06;5350;PT Sentosa Abadi;SA001
28;133BRM0006;23;2022-01-06;5400;PT Berkah Makmur;BM001
29;133SJB0006;23;2022-01-06;5450;PT Sejahtera Bersama;SB001
30;133CHI0006;23;2022-01-06;5350;PT Cahaya Indah;CI001
31;133MJY0007;23;2022-01-07;5350;PT Maju Jaya;MJ001
32;133SAB0007;23;2022-01-07;5400;PT Sentosa Abadi;SA001
33;133BRM0007;23;2022-01-07;5450;PT Berkah Makmur;BM001
34;133SJB0007;23;2022-01-07;5500;PT Sejahtera Bersama;SB001
35;133CHI0007;23;2022-01-07;5400;PT Cahaya Indah;CI001
36;133MJY0008;23;2022-01-08;5400;PT Maju Jaya;MJ001
37;133SAB0008;23;2022-01-08;5450;PT Sentosa Abadi;SA001
38;133BRM0008;23;2022-01-08;5500;PT Berkah Makmur;BM001
39;133SJB0008;23;2022-01-08;5550;PT Sejahtera Bersama;SB001
40;133CHI0008;23;2022-01-08;5450;PT Cahaya Indah;CI001
41;133MJY0009;23;2022-01-09;5450;PT Maju Jaya;MJ001
42;133SAB0009;23;2022-01-09;5500;PT Sentosa Abadi;SA001
43;133BRM0009;23;2022-01-09;5550;PT Berkah Makmur;BM001
44;133SJB0009;23;2022-01-09;5600;PT Sejahtera Bersama;SB001
45;133CHI0009;23;2022-01-09;5500;PT Cahaya Indah;CI001
46;133MJY0010;23;2022-01-10;5500;PT Maju Jaya;MJ001
47;133SAB0010;23;2022-01-10;5550;PT Sentosa Abadi;SA001
48;133BRM0010;23;2022-01-10;5600;PT Berkah Makmur;BM001
49;133SJB0010;23;2022-01-10;5650;PT Sejahtera Bersama;SB001
50;133CHI0010;23;2022-01-10;5550;PT Cahaya Indah;CI001
51;133MJY0011;23;2022-01-11;5100;PT Maju Jaya;MJ001
52;133SAB0011;23;2022-01-11;5150;PT Sentosa Abadi;SA001
53;133BRM0011;23;2022-01-11;5200;PT Berkah Makmur;BM001
54;133SJB0011;23;2022-01-11;5250;PT Sejahtera Bersama;SB001
55;133CHI0011;23;2022-01-11;5150;PT Cahaya Indah;CI001
56;133MJY0012;23;2022-01-12;5150;PT Maju Jaya;MJ001
57;133SAB0012;23;2022-01-12;5200;PT Sentosa Abadi;SA001
58;133BRM0012;23;2022-01-12;5250;PT Berkah Makmur;BM001
59;133SJB0012;23;2022-01-12;5300;PT Sejahtera Bersama;SB001
60;133CHI0012;23;2022-01-12;5200;PT Cahaya Indah;CI001
61;133MJY0013;23;2022-01-13;5200;PT Maju Jaya;MJ001
62;133SAB0013;23;2022-01-13;5250;PT Sentosa Abadi;SA001
63;133BRM0013;23;2022-01-13;5300;PT Berkah Makmur;BM001
64;133SJB0013;23;2022-01-13;5350;PT Sejahtera Bersama;SB001
65;133CHI0013;23;2022-01-13;5250;PT Cahaya Indah;CI001
66;133MJY0014;23;2022-01-14;5250;PT Maju Jaya;MJ001
67;133SAB0014;23;2022-01-14;5300;PT Sentosa Abadi;SA001
68;133BRM0014;23;2022-01-14;5350;PT Berkah Makmur;BM001
69;133SJB0014;23;2022-01-14;5400;PT Sejahtera Bersama;SB001
70;133CHI0014;23;2022-01-14;5300;PT Cahaya Indah;CI001
71;133MJY0015;23;2022-01-15;5300;PT Maju Jaya;MJ001
72;133SAB0015;23;2022-01-15;5350;PT Sentosa Abadi;SA001
73;133BRM0015;23;2022-01-15;5400;PT Berkah Makmur;BM001
74;133SJB0015;23;2022-01-15;5450;PT Sejahtera Bersama;SB001
75;133CHI0015;23;2022-01-15;5350;PT Cahaya Indah;CI001
76;133MJY0016;23;2022-01-16;5350;PT Maju Jaya;MJ001
77;133SAB0016;23;2022-01-16;5400;PT Sentosa Abadi;SA001
78;133BRM0016;23;2022-01-16;5450;PT Berkah Makmur;BM001
79;133SJB0016;23;2022-01-16;5500;PT Sejahtera Bersama;SB001
80;133CHI0016;23;2022-01-16;5400;PT Cahaya Indah;CI001
81;133MJY0017;23;2022-01-17;5400;PT Maju Jaya;MJ001
82;133SAB0017;23;2022-01-17;5450;PT Sentosa Abadi;SA001
83;133BRM0017;23;2022-01-17;5500;PT Berkah Makmur;BM001
84;133SJB0017;23;2022-01-17;5550;PT Sejahtera Bersama;SB001
85;133CHI0017;23;2022-01-17;5450;PT Cahaya Indah;CI001
86;133MJY0018;23;2022-01-18;5450;PT Maju Jaya;MJ001
87;133SAB0018;23;2022-01-18;5500;PT Sentosa Abadi;SA001
88;133BRM0018;23;2022-01-18;5550;PT Berkah Makmur;BM001
89;133SJB0018;23;2022-01-18;5600;PT Sejahtera Bersama;SB001
90;133CHI0018;23;2022-01-18;5500;PT Cahaya Indah;CI001
91;133MJY0019;23;2022-01-19;5500;PT Maju Jaya;MJ001
92;133SAB0019;23;2022-01-19;5550;PT Sentosa Abadi;SA001
93;133BRM0019;23;2022-01-19;5600;PT Berkah Makmur;BM001
